,Unnamed: 0,id,trial_date,trial_hour,day_of_week,trial_country,subscription_date,sub_hour_start,sub_label,trial_dateTime,sub_dateTime,subLag,country_count,us,uk,can,aus,mon,tueSun,wedSat,thr,fri
55789,55789,519ee029e4b0a14ac5eaac5f,2013-05-23 00:00:00,23,Thursday,United States,,,0,2013-05-23 23:00:00,,,45149,1,0,0,0,0,0,0,1,0
18382,18382,518ad34be4b06a18ff50ea8c,2013-05-08 00:00:00,18,Wednesday,United States,,,0,2013-05-08 18:00:00,,,45149,1,0,0,0,0,0,1,0,0
19870,19870,518bb8b2e4b038f0d6d90580,2013-05-09 00:00:00,10,Thursday,United Kingdom,,,0,2013-05-09 10:00:00,,,5408,0,1,0,0,0,0,0,1,0
48382,48382,519a6960e4b089748334b29f,2013-05-20 00:00:00,14,Monday,United States,,,0,2013-05-20 14:00:00,,,45149,1,0,0,0,1,0,0,0,0
37547,37547,5195fb73e4b05e9de60efadf,2013-05-17 00:00:00,5,Friday,France,,,0,2013-05-17 05:00:00,,,562,0,0,0,0,0,0,0,0,1
70140,70140,51a72535e4b0b9bb8be3d6d4,2013-05-30 00:00:00,6,Thursday,United States,,,0,2013-05-30 06:00:00,,,45149,1,0,0,0,0,0,0,1,0
42044,42044,51990fcfe4b0be74de0b76cf,2013-05-19 00:00:00,13,Sunday,United Kingdom,,,0,2013-05-19 13:00:00,,,5408,0,1,0,0,0,1,0,0,0
6677,6677,51841ab1e4b0580e00077acb,2013-05-03 00:00:00,16,Friday,Canada,,,0,2013-05-03 16:00:00,,,4868,0,0,1,0,0,0,0,0,1
33325,33325,5193be6de4b0f060409f12cc,2013-05-15 00:00:00,12,Wednesday,Taiwan,,,0,2013-05-15 12:00:00,,,120,0,0,0,0,0,0,1,0,0
74319,74319,51a91d0be4b02f35a70dc2cb,2013-05-31 00:00:00,17,Friday,United States,,,0,2013-05-31 17:00:00,,,45149,1,0,0,0,0,0,0,0,1
7657,7657,5184e38fe4b0b930f1ca3ebc,2013-05-04 00:00:00,6,Saturday,United Kingdom,,,0,2013-05-04 06:00:00,,,5408,0,1,0,0,0,0,1,0,0
63426,63426,51a404dbe4b040da1a85e0c5,2013-05-27 00:00:00,21,Monday,Australia,,,0,2013-05-27 21:00:00,,,3414,0,0,0,1,1,0,0,0,0
24890,24890,518eca32e4b054ba752ae691,2013-05-11 00:00:00,18,Saturday,Nigeria,2013-05-29 00:00:00,21.0,1,2013-05-11 18:00:00,2013-05-29 21:00:00,18 days 03:00:00.000000000,61,0,0,0,0,0,0,1,0,0
16944,16944,518a44d7e4b0d70f7846053e,2013-05-08 00:00:00,8,Wednesday,Norway,,,0,2013-05-08 08:00:00,,,361,0,0,0,0,0,0,1,0,0
4491,4491,5182dbd9e4b099958856866d,2013-05-02 00:00:00,17,Thursday,United States,,,0,2013-05-02 17:00:00,,,45149,1,0,0,0,0,0,0,1,0
15985,15985,5189aa64e4b0f73b54ff2aff,2013-05-07 00:00:00,21,Tuesday,United States,,,0,2013-05-07 21:00:00,,,45149,1,0,0,0,0,1,0,0,0
10942,10942,51872413e4b0c64b3103711c,2013-05-05 00:00:00,23,Sunday,United States,,,0,2013-05-05 23:00:00,,,45149,1,0,0,0,0,1,0,0,0
53045,53045,519d707ce4b0d4973ff81590,2013-05-22 00:00:00,21,Wednesday,United States,,,0,2013-05-22 21:00:00,,,45149,1,0,0,0,0,0,1,0,0
13216,13216,51885921e4b0124db6718c74,2013-05-06 00:00:00,21,Monday,United States,,,0,2013-05-06 21:00:00,,,45149,1,0,0,0,1,0,0,0,0
10735,10735,51870a1fe4b099958861573e,2013-05-05 00:00:00,21,Sunday,United States,,,0,2013-05-05 21:00:00,,,45149,1,0,0,0,0,1,0,0,0
9800,9800,51869246e4b04fc5ce736f5d,2013-05-05 00:00:00,13,Sunday,Estonia,2013-07-08 00:00:00,2.0,1,2013-05-05 13:00:00,2013-07-08 02:00:00,63 days 13:00:00.000000000,30,0,0,0,0,0,1,0,0,0
18527,18527,518ae449e4b023f422462324,2013-05-08 00:00:00,19,Wednesday,United States,,,0,2013-05-08 19:00:00,,,45149,1,0,0,0,0,0,1,0,0
63526,63526,51a40fc1e4b012a705dddb65,2013-05-27 00:00:00,22,Monday,United States,,,0,2013-05-27 22:00:00,,,45149,1,0,0,0,1,0,0,0,0
49633,49633,519bef3ee4b0b8da6b975dc3,2013-05-21 00:00:00,18,Tuesday,United States,,,0,2013-05-21 18:00:00,,,45149,1,0,0,0,0,1,0,0,0
